
2024/10/10 (20:19:15) | ===> btop++ v.1.4.0
2024/10/10 (20:19:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (20:19:17) | ===> btop++ v.1.4.0
2024/10/10 (20:19:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (20:19:32) | ===> btop++ v.1.4.0
2024/10/10 (20:19:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (20:19:36) | ===> btop++ v.1.4.0
2024/10/10 (20:19:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (20:20:41) | ===> btop++ v.1.4.0
2024/11/25 (20:20:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (09:08:43) | ===> btop++ v.1.4.0
2025/03/16 (09:08:43) | WARNING: Intel GPU: Failed to initialize PMU
